product,label,name,description,category,migipediaUrl,migrosId,migrosOnlineId,productUrls,uid
https://static.rwpz.net/spendcast/gtin/7617400020410,"Homemade · Backmischung für Brownies · Mit Backform, mit Pecannüssen",Backmischung für Brownies,"Homemade Backmischung für Brownies Mit Backform, mit Pecannüssen",https://static.rwpz.net/spendcast/migros/category/7494937,https://migipedia.migros.ch/de/products/102523000000,102523000000,58991,https://www.migros.ch/de/product/102523000000,100006973
https://static.rwpz.net/spendcast/gtin/7617400020458,"Homemade · Backmischung für Mufins · Mit 8 Backformen, Schokoladenwürfel",Backmischung für Mufins,"Homemade Backmischung für Mufins Mit 8 Backformen, Schokoladenwürfel",https://static.rwpz.net/spendcast/migros/category/7494937,https://migipedia.migros.ch/de/products/102523100000,102523100000,4372245,https://www.migros.ch/de/product/102523100000,100030025
https://static.rwpz.net/spendcast/gtin/7617400030235,Haselnussgebäck Nuss Stengeli,Haselnussgebäck Nuss Stengeli,Haselnussgebäck Nuss Stengeli ,https://static.rwpz.net/spendcast/migros/category/7495011,https://migipedia.migros.ch/de/products/110104100000,110104100000,58986,https://www.migros.ch/de/product/110104100000,100006948
https://static.rwpz.net/spendcast/gtin/7617400030648,Blévita · Fünfkorngebäck · Original,Fünfkorngebäck,Blévita Fünfkorngebäck Original,https://static.rwpz.net/spendcast/migros/category/7495024,https://migipedia.migros.ch/de/products/110180000000,110180000000,54371,https://www.migros.ch/de/product/110180000000,100005646
https://static.rwpz.net/spendcast/gtin/7617400030716,Blévita · Fünfkorngebäck · Mit Sesam,Fünfkorngebäck,Blévita Fünfkorngebäck Mit Sesam,https://static.rwpz.net/spendcast/migros/category/7495024,https://migipedia.migros.ch/de/products/110181500000,110181500000,54372,https://www.migros.ch/de/product/110181500000,100005650
https://static.rwpz.net/spendcast/gtin/7617400030723,M-Classic · Zwieback,Zwieback,M-Classic Zwieback ,https://static.rwpz.net/spendcast/migros/category/7494930,https://migipedia.migros.ch/de/products/110300200000,110300200000,54373,https://www.migros.ch/de/product/110300200000,100005649
https://static.rwpz.net/spendcast/gtin/7617400031003,Blévita · Mit Leinsamen,Mit Leinsamen,Blévita Mit Leinsamen ,https://static.rwpz.net/spendcast/migros/category/7495024,https://migipedia.migros.ch/de/products/110180900000,110180900000,54430,https://www.migros.ch/de/product/110180900000,100005654
https://static.rwpz.net/spendcast/gtin/7617400031942,Party · Pizza Crackers,Pizza Crackers,Party Pizza Crackers ,https://static.rwpz.net/spendcast/migros/category/7495506,https://migipedia.migros.ch/de/products/110230800000,110230800000,54433,https://www.migros.ch/de/product/110230800000,100005657
https://static.rwpz.net/spendcast/gtin/7617400033557,Blévita · 5-Korngebäck · 5-Korngebäck,5-Korngebäck,Blévita 5-Korngebäck 5-Korngebäck,https://static.rwpz.net/spendcast/migros/category/7495024,https://migipedia.migros.ch/de/products/110181100000,110181100000,54445,https://www.migros.ch/de/product/110181100000,100005669
https://static.rwpz.net/spendcast/gtin/7617400033717,Blévita · 5-Korngebäck · Sesam,5-Korngebäck,Blévita 5-Korngebäck Sesam,https://static.rwpz.net/spendcast/migros/category/7495024,https://migipedia.migros.ch/de/products/110181200000,110181200000,54447,https://www.migros.ch/de/product/110181200000,100005670
